number,value,datetime_start,datetime_complete,duration,params_disp_width,params_learning_rate,params_lr_gamma,params_lr_step_size,params_scheduler,params_stress_width,params_w_bc,params_w_cons_bc,user_attrs_best_reported_value,user_attrs_disp_rel_l2,user_attrs_disp_rmse,user_attrs_final_loss,user_attrs_sigma11_max_abs,user_attrs_sigma11_rel_l2,user_attrs_sigma11_rmse,user_attrs_sigma12_max_abs,user_attrs_sigma12_rel_l2,user_attrs_sigma12_rmse,user_attrs_sigma22_max_abs,user_attrs_sigma22_rel_l2,user_attrs_sigma22_rmse,user_attrs_study_mode,user_attrs_trial_dir,user_attrs_u_max_abs,user_attrs_u_rel_l2,user_attrs_u_rmse,user_attrs_use_data_part_e,user_attrs_v_max_abs,user_attrs_v_rel_l2,user_attrs_v_rmse,state
0,,2026-03-14 13:24:28.455003,2026-03-14 13:24:28.475752,0 days 00:00:00.020749,400,0.00019182157424526137,0.5012332661231238,6000.0,step,300,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,FAIL
1,0.8168136603806119,2026-03-14 13:25:43.572632,2026-03-14 13:28:22.858614,0 days 00:02:39.285982,400,0.00019182157424526137,0.5012332661231238,6000.0,step,300,0.5,0.5,0.7002769826072804,0.8168136603806119,0.016538772732019424,6.397380639100447e-05,0.276388481605514,0.556698223437103,0.06867910429462099,0.07968052308490069,1.0102723092680397,0.02314874719741827,0.20108889848691852,2.060408288328844,0.05539211477746719,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0001,0.0361846499145031,0.6716020929984456,0.018114475533366203,False,0.02798822522163391,1.5387254785433322,0.014796208590269089,COMPLETE
2,0.7992624127755539,2026-03-14 13:28:22.988888,2026-03-14 13:30:50.926645,0 days 00:02:27.937757,200,0.00034592411805952895,,,none,300,1.0,2.0,0.7151211861125336,0.7992624127755539,0.0161833968013525,3.033044959011022e-05,0.2977342720811209,0.6631704783319518,0.08181444188068206,0.07938323746850283,1.0229834890747733,0.023440003213472185,0.18063459605676563,1.5975020821437833,0.0429473222334603,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0002,0.03770754486322403,0.7017832661823018,0.01892852410674095,False,0.02446514181792736,1.3379201805523122,0.012865288183093071,COMPLETE
3,0.9235801107836514,2026-03-14 13:30:51.133934,2026-03-14 13:33:48.074740,0 days 00:02:56.940806,200,0.00021046625320096416,,,none,400,2.0,2.0,0.7644459817236371,0.9235801107836514,0.01870056986808777,0.003092941828072071,0.31108170782373756,0.7274635820732291,0.08974619483295453,0.07887534442772658,1.0058471504467092,0.02304735187862782,0.20536376596195133,2.1180389769295602,0.056941460960822206,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0003,0.04310864582657814,0.7968392154047557,0.021492376923561096,False,0.03134412690997124,1.6026654957987188,0.015411049127578735,COMPLETE
4,0.7351916484292157,2026-03-14 13:33:48.158805,2026-03-14 13:36:47.052242,0 days 00:02:58.893437,400,0.000685439078959779,,,none,400,0.5,2.0,0.5420920024030892,0.7351916484292157,0.014886097982525826,4.3616368202492595e-05,0.293387733746036,0.62713907948267,0.07736929710516531,0.0759634721972564,0.9657250664347549,0.02212801956465077,0.18524493337375553,1.5902817982262993,0.04275321177596087,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0004,0.03329569101333618,0.6339104732677078,0.017097854986786842,False,0.022536439821124077,1.2772935051787135,0.012282309122383595,COMPLETE
5,0.8159767865415736,2026-03-14 13:36:47.154308,2026-03-14 13:39:41.954591,0 days 00:02:54.800283,300,0.00015243278950774546,,,none,300,0.5,1.0,0.6627753426219348,0.8159767865415736,0.01652182638645172,0.0003959827299695462,0.3256296863515815,0.7718184579250651,0.09521819566995267,0.08069365862240584,1.031376666797961,0.023632319233138053,0.15676488601369293,1.3395351579385115,0.03601212712901895,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0005,0.04122303053736687,0.7553363882815218,0.020372960716485977,False,0.021971553564071655,1.1897456298705567,0.011440456844866276,COMPLETE
6,0.7898730094897981,2026-03-14 13:39:42.029373,2026-03-14 13:42:38.013837,0 days 00:02:55.984464,400,0.001103682125751091,,,none,300,0.5,0.5,0.5811052463471645,0.7898730094897981,0.015993280336260796,6.989376288402127e-06,0.3009599227194628,0.6561282285675338,0.08094564908473403,0.07818593289186747,0.9854033671893444,0.022578915828226284,0.1773120990465346,1.5702508944191045,0.042214700001828726,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0006,0.036689642816782,0.6907248821741181,0.01863025687634945,False,0.023979011923074722,1.3337426710052172,0.012825117446482182,COMPLETE
7,0.7697583133521996,2026-03-14 13:42:38.123693,2026-03-14 13:45:31.095117,0 days 00:02:52.971424,300,0.0013587021938016924,,,none,300,0.5,0.5,0.6276214291168046,0.7697583133521996,0.015585999935865402,7.087710400810465e-06,0.2963028888885817,0.6421089699998013,0.07921611218166662,0.07691293507298023,0.9763466240514532,0.022371395286083656,0.18114452496869,1.5987466476345205,0.04298078119152287,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0007,0.03585435077548027,0.6676818586528117,0.01800873875617981,False,0.023612719029188156,1.3217220708142055,0.01270952820777893,COMPLETE
8,0.7486429561490693,2026-03-14 13:45:31.307547,2026-03-14 13:45:40.224580,0 days 00:00:08.917033,300,0.0003266263252019512,,,none,400,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
9,0.7637703124570047,2026-03-14 13:45:40.316296,2026-03-14 13:48:38.138864,0 days 00:02:57.822568,200,0.0018252053070461937,,,none,300,1.0,1.0,0.613152461771789,0.7637703124570047,0.015464754775166512,0.00014792248839512467,0.3053807023649058,0.683990911857302,0.08438303050796073,0.07717467396935017,0.986377943557991,0.02260124666098833,0.17666829810244472,1.5274046379672988,0.04106281919810307,baseline,problem_1_experiments/optuna_studies/pinn_v4_baseline/trials/trial_0009,0.03705454617738724,0.6708386052127546,0.018093883991241455,False,0.02293659746646881,1.2776049131707263,0.012285303324460983,COMPLETE
10,0.7535421100809817,2026-03-14 13:48:38.244635,2026-03-14 13:48:47.835639,0 days 00:00:09.591004,300,0.0006547320686524641,,,none,500,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
11,0.7405272709019126,2026-03-14 13:48:47.912898,2026-03-14 13:48:56.993307,0 days 00:00:09.080409,400,0.0013934772044704167,0.690931414375132,2000.0,step,400,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,PRUNED
